País,sexo,nivel_laboral,año,prom_ganancias,moneda,note_source.label
Belgium,Mujeres,Directores y gerentes,2014,34.45,Currency: BEL - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Belgium,Mujeres,Profesionales científicos e intelectuales,2014,27.65,Currency: BEL - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Belgium,Mujeres,Técnicos y profesionales de nivel medio,2014,20.32,Currency: BEL - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Belgium,Mujeres,Personal de apoyo administrativo,2014,17.47,Currency: BEL - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Belgium,Mujeres,Trabajadores de los servicios y vendedores de comercios y mercados,2014,15.3,Currency: BEL - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Belgium,Mujeres,"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2014,15.22,Currency: BEL - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Belgium,Mujeres,Operadores de instalaciones y máquinas y ensambladores,2014,15.96,Currency: BEL - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Belgium,Mujeres,Ocupaciones elementales,2014,13.82,Currency: BEL - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Total,Total,2014,2.34,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Total,Directores y gerentes,2014,5.65,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Total,Profesionales científicos e intelectuales,2014,3.43,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
